ax,ay,az,speed,label
0.94,1.73,-1.11,1.155470991248668,walk
0.97,1.74,-0.56,1.155470991248668,walk
0.94,1.66,-0.02,1.155470991248668,walk
0.88,1.58,0.26,1.155470991248668,walk
0.7,2.07,0.21,1.155470991248668,walk
0.53,2.07,0.89,1.155470991248668,walk
0.32,2.02,1.28,1.155470991248668,walk
0.42,2.2,1.52,1.155470991248668,walk
0.51,2.12,1.58,1.155470991248668,walk
0.5,1.92,1.69,1.155470991248668,walk
0.44,1.75,1.81,1.155470991248668,walk
0.21,1.53,1.93,1.155470991248668,walk
-0.08,1.27,2.21,1.155470991248668,walk
-0.21,1.23,2.48,1.155470991248668,walk
-0.3,1.16,2.72,1.155470991248668,walk
-0.32,1.03,2.83,1.155470991248668,walk
-0.3,1.04,2.86,1.155470991248668,walk
-0.39,0.96,3.1,1.155470991248668,walk
-0.56,0.63,3.64,1.155470991248668,walk
-0.67,0.29,4.18,1.155470991248668,walk
-0.74,0.04,4.51,1.155470991248668,walk
-0.77,-0.26,4.53,1.155470991248668,walk
-0.76,-0.54,4.24,1.155470991248668,walk
-0.73,-0.74,3.68,1.155470991248668,walk
-0.64,-0.92,2.99,1.155470991248668,walk
-0.58,-1.08,2.11,1.155470991248668,walk
-0.52,-1.2,1.3,1.155470991248668,walk
-0.49,-1.28,0.63,1.155470991248668,walk
-0.51,-1.33,0.0,1.155470991248668,walk
-0.55,-1.3,-0.52,1.155470991248668,walk
-0.57,-1.25,-1.04,1.155470991248668,walk
-0.55,-1.18,-1.63,1.155470991248668,walk
-0.5,-1.08,-2.14,1.155470991248668,walk
-0.45,-1.02,-2.59,1.155470991248668,walk
-0.42,-0.98,-2.94,1.155470991248668,walk
-0.41,-1.0,-3.19,1.155470991248668,walk
-0.39,-1.07,-3.31,1.155470991248668,walk
-0.33,-1.09,-3.45,1.155470991248668,walk
-0.21,-1.04,-3.61,1.155470991248668,walk
-0.15,-1.02,-3.61,1.155470991248668,walk
-0.15,-1.1,-3.61,1.155470991248668,walk
-0.09,-1.21,-3.75,1.155470991248668,walk
-0.07,-1.38,-3.97,1.155470991248668,walk
-0.02,-1.56,-4.13,1.155470991248668,walk
0.1,-1.65,-4.34,1.155470991248668,walk
0.22,-1.49,-4.47,1.155470991248668,walk
0.37,-1.31,-4.3,1.155470991248668,walk
0.35,-1.23,-4.09,1.155470991248668,walk
0.25,-1.19,-3.91,1.155470991248668,walk
0.16,-1.18,-3.75,1.155470991248668,walk
-0.01,-1.04,-3.76,1.155470991248668,walk
-0.1,-0.84,-3.79,1.155470991248668,walk
0.12,-0.69,-3.79,1.155470991248668,walk
0.5,-0.62,-3.77,1.155470991248668,walk
0.86,-0.72,-3.53,1.155470991248668,walk
1.04,-0.82,-3.17,1.155470991248668,walk
1.13,-0.72,-2.96,1.155470991248668,walk
1.16,-0.38,-2.95,1.155470991248668,walk
